address_id,user_id,address
141,39,"117 Foster Row
West Susanburgh, MS 04841"
142,49,"6577 Mark Forest Apt. 036
New Cameron, DC 89780"
143,7,"854 Harris Road
North Vanessastad, UT 35059"
144,47,"0776 Jennifer Spring
Chadberg, FL 55263"
145,27,"516 Cook Gateway
Lake Jacquelinetown, NJ 09519"
146,6,"21266 Hughes Causeway
Darrenbury, AL 10831"
147,18,"PSC 1898, Box 5716
APO AE 32415"
148,59,"06254 Chase Cape Suite 506
Harringtonberg, IA 09959"
149,22,"88805 Gillespie Ramp
Danielsville, WI 25032"
150,31,"1206 Blevins Canyon Apt. 972
New Michaelton, MD 40311"
